transaction_id,sender_id,source_country,destination_country,amount_zar,exchange_rate,status,timestamp
TXN-20260615-000000,USR-7997,South Africa,Mozambique,30924.22,0.1419,Pending,2026-06-01T07:42:10.530984
TXN-20260615-000001,USR-3052,South Africa,Zimbabwe,29500.17,0.0572,Pending,2026-06-08T16:50:06.530984
TXN-20260615-000002,USR-3255,South Africa,Zimbabwe,4583.15,0.1416,Failed,2026-06-03T17:40:22.530984
TXN-20260615-000003,USR-1467,South Africa,Mozambique,45834.16,0.1045,Pending,2026-06-04T03:40:16.530984
TXN-20260615-000004,USR-8287,South Africa,Namibia,5937.88,0.0571,Failed,2026-06-08T09:41:09.530984
TXN-20260615-000005,USR-8171,South Africa,Botswana,11444.84,0.148,Success,2026-05-22T20:18:02.530984
TXN-20260615-000006,USR-8874,South Africa,Zimbabwe,6556.58,0.1311,Failed,2026-05-18T19:39:53.530984
TXN-20260615-000007,USR-1598,South Africa,Mozambique,16904.74,0.0575,Pending,2026-06-02T09:23:18.530984
TXN-20260615-000008,USR-2846,South Africa,Malawi,26179.07,0.0967,Failed,2026-05-18T15:34:42.530984
TXN-20260615-000009,USR-1010,South Africa,Namibia,7749.38,0.0627,Failed,2026-06-06T11:49:48.530984
TXN-20260615-000010,USR-7190,South Africa,Mozambique,40731.02,0.0793,Failed,2026-05-23T07:55:38.530984
TXN-20260615-000011,USR-3043,South Africa,Namibia,438.59,0.102,Failed,2026-06-10T14:50:22.530984
TXN-20260615-000012,USR-1467,South Africa,Mozambique,19406.22,0.0776,Success,2026-05-19T20:14:55.530984
TXN-20260615-000013,USR-4787,South Africa,Namibia,34802.29,0.133,Pending,2026-05-28T19:58:36.530984
TXN-20260615-000014,USR-3903,South Africa,Malawi,34450.05,0.0997,Success,2026-05-30T09:18:47.530984
TXN-20260615-000015,USR-9485,South Africa,Mozambique,20570.96,0.1353,Pending,2026-05-23T14:35:40.530984
TXN-20260615-000016,USR-6084,South Africa,Zimbabwe,8602.33,0.0657,Failed,2026-05-19T00:49:08.530984
TXN-20260615-000017,USR-5032,South Africa,Namibia,18832.15,0.0976,Pending,2026-05-18T12:44:06.530984
TXN-20260615-000018,USR-3114,South Africa,Malawi,26363.5,0.1374,Success,2026-06-02T13:35:01.530984
TXN-20260615-000019,USR-6774,South Africa,Mozambique,3670.24,0.1035,Failed,2026-05-27T05:53:15.530984
TXN-20260615-000020,USR-9437,South Africa,Namibia,49123.68,0.0766,Pending,2026-05-24T00:16:30.530984
TXN-20260615-000021,USR-6128,South Africa,Mozambique,12919.19,0.1338,Pending,2026-05-29T15:20:24.530984
TXN-20260615-000022,USR-1388,South Africa,Namibia,28592.3,0.1439,Pending,2026-05-17T00:18:36.530984
TXN-20260615-000023,USR-4077,South Africa,Botswana,40875.63,0.0507,Success,2026-05-20T17:26:05.530984
TXN-20260615-000024,USR-7294,South Africa,Mozambique,34461.84,0.1085,Pending,2026-05-18T01:01:57.530984
TXN-20260615-000025,USR-5741,South Africa,Zimbabwe,13952.03,0.1472,Failed,2026-05-20T00:50:06.530984
TXN-20260615-000026,USR-5233,South Africa,Mozambique,26452.42,0.1422,Pending,2026-06-02T12:17:35.530984
TXN-20260615-000027,USR-9210,South Africa,Zimbabwe,48414.99,0.0788,Success,2026-05-27T02:29:33.530984
TXN-20260615-000028,USR-5469,South Africa,Mozambique,34063.4,0.0971,Success,2026-05-25T00:33:05.530984
TXN-20260615-000029,USR-5067,South Africa,Namibia,21291.83,0.1447,Pending,2026-06-11T03:48:35.530984
TXN-20260615-000030,USR-7389,South Africa,Mozambique,35283.23,0.1412,Failed,2026-06-15T05:25:37.530984
TXN-20260615-000031,USR-8841,South Africa,Namibia,1933.61,0.0615,Failed,2026-06-09T17:34:17.530984
TXN-20260615-000032,USR-8028,South Africa,Botswana,17457.71,0.1048,Pending,2026-05-30T08:09:31.530984
TXN-20260615-000033,USR-6805,South Africa,Malawi,33810.98,0.1498,Failed,2026-06-11T10:10:08.530984
TXN-20260615-000034,USR-3449,South Africa,Namibia,8580.67,0.1168,Success,2026-05-25T06:49:26.530984
TXN-20260615-000035,USR-8901,South Africa,Namibia,44444.91,0.146,Pending,2026-06-05T02:14:54.530984
TXN-20260615-000036,USR-7568,South Africa,Botswana,23950.64,0.1187,Pending,2026-05-22T08:35:16.530984
TXN-20260615-000037,USR-4077,South Africa,Namibia,45064.0,0.1231,Failed,2026-05-24T07:00:14.530984
TXN-20260615-000038,USR-1877,South Africa,Malawi,48432.29,0.1319,Pending,2026-06-12T08:22:44.530984
TXN-20260615-000039,USR-5602,South Africa,Zimbabwe,12042.73,0.0948,Failed,2026-05-21T16:08:46.530984
TXN-20260615-000040,USR-1270,South Africa,Mozambique,7494.58,0.0619,Pending,2026-05-19T15:35:43.530984
TXN-20260615-000041,USR-2970,South Africa,Zimbabwe,29602.43,0.1495,Pending,2026-06-15T04:08:24.530984
TXN-20260615-000042,USR-8700,South Africa,Mozambique,31985.77,0.0502,Failed,2026-05-19T00:22:04.530984
TXN-20260615-000043,USR-4316,South Africa,Mozambique,28113.91,0.1124,Success,2026-06-15T02:38:24.530984
TXN-20260615-000044,USR-8963,South Africa,Mozambique,45645.18,0.0716,Success,2026-05-21T07:29:17.530984
TXN-20260615-000045,USR-6302,South Africa,Mozambique,23965.95,0.0779,Pending,2026-06-11T22:43:36.530984
TXN-20260615-000046,USR-4581,South Africa,Botswana,49164.66,0.0997,Failed,2026-05-20T15:49:39.530984
TXN-20260615-000047,USR-2533,South Africa,Namibia,40068.45,0.0601,Pending,2026-05-16T18:37:20.530984
TXN-20260615-000048,USR-5941,South Africa,Botswana,18545.07,0.0524,Pending,2026-06-10T11:19:08.530984
TXN-20260615-000049,USR-2252,South Africa,Namibia,6579.55,0.1076,Failed,2026-05-18T18:57:38.530984
TXN-20260615-000050,USR-7970,South Africa,Malawi,47611.55,0.1474,Pending,2026-06-12T13:20:11.530984
TXN-20260615-000051,USR-6300,South Africa,Zimbabwe,12571.84,0.1437,Pending,2026-05-26T07:18:14.530984
